pincode,region_id,locality,district,state_code,lat,lon,source_url,confidence
500001,hyderabad,Moazzampura,Hyderabad,TS,17.52439,78.61415,https://github.com/harshvardhaniimi/IndiaPIN,quoted
500002,hyderabad,Charminar HO,Hyderabad,TS,17.36994,78.46853,https://github.com/harshvardhaniimi/IndiaPIN,quoted
500003,hyderabad,Secunderabad,Hyderabad,TS,17.385,78.4867,https://github.com/harshvardhaniimi/IndiaPIN,typical
500004,hyderabad,A.Gs Office,Hyderabad,TS,17.40656,78.46703,https://github.com/harshvardhaniimi/IndiaPIN,quoted
500005,hyderabad,CRP Camp,Ranga Reddy,TS,17.32611,78.45617,https://github.com/harshvardhaniimi/IndiaPIN,quoted
500006,hyderabad,Kulsumpura,Hyderabad,TS,17.50203,78.6869,https://github.com/harshvardhaniimi/IndiaPIN,quoted
500007,hyderabad,IICT,Hyderabad,TS,17.41128,78.51828,https://github.com/harshvardhaniimi/IndiaPIN,quoted
500008,hyderabad,Golconda,Hyderabad,TS,17.63906,78.6665,https://github.com/harshvardhaniimi/IndiaPIN,quoted
500009,hyderabad,Manovikasnagar,Hyderabad,TS,17.46906,78.50003,https://github.com/harshvardhaniimi/IndiaPIN,quoted
500010,hyderabad,Alwal,Hyderabad,TS,17.50533,78.5175,https://github.com/harshvardhaniimi/IndiaPIN,quoted
500011,hyderabad,Bowenpally,Hyderabad,TS,17.46489,78.47244,https://github.com/harshvardhaniimi/IndiaPIN,quoted
500012,hyderabad,Begum Bazar,Hyderabad,TS,17.37892,78.46969,https://github.com/harshvardhaniimi/IndiaPIN,quoted
500013,hyderabad,Ramanthapur,Medchal Malkajgiri,TS,17.39522,78.52651,https://github.com/harshvardhaniimi/IndiaPIN,quoted
500014,hyderabad,Hakimpet,Hyderabad,TS,17.539,78.51831,https://github.com/harshvardhaniimi/IndiaPIN,quoted
500015,hyderabad,Aoc Records,Hyderabad,TS,17.48658,78.51189,https://github.com/harshvardhaniimi/IndiaPIN,quoted
500016,hyderabad,Begumpet,Hyderabad,TS,17.44037,78.46346,https://github.com/harshvardhaniimi/IndiaPIN,quoted
500017,hyderabad,Lallapet,Hyderabad,TS,17.43664,78.53574,https://github.com/harshvardhaniimi/IndiaPIN,quoted
500018,hyderabad,Erragadda,Hyderabad,TS,17.385,78.4867,https://github.com/harshvardhaniimi/IndiaPIN,typical
500019,hyderabad,Lingampalli,Ranga Reddy,TS,17.385,78.4867,https://github.com/harshvardhaniimi/IndiaPIN,typical
500020,hyderabad,Ashoknagar,Hyderabad,TS,17.41028,78.49689,https://github.com/harshvardhaniimi/IndiaPIN,quoted
500022,hyderabad,Central Secretariat,Hyderabad,TS,17.4085,78.47067,https://github.com/harshvardhaniimi/IndiaPIN,quoted
500023,hyderabad,Yakutpura,Hyderabad,TS,17.35203,78.48853,https://github.com/harshvardhaniimi/IndiaPIN,quoted
