product_id,category,title,brand,region_id,vendor_name,vendor_locality,platform,seller_type,base_rupees,base_unit,base_rupees_per_canonical,unit_canonical,gst_treatment,gst_rate_pct,hsn,freight_rupees,handling_rupees,loading_rupees,landed_rupees_per_canonical,landed_rupees_per_trade_unit,moq_qty,moq_unit,stock_state,lead_time_days,cert_state,cert_ref,qco_regulated,rating,review_count,distance_km,vehicle_class,freight_basis,fetched_at,source_url
p_47b86e43327e9ead,bricks_blocks,Unbranded Fly ash brick,,hyderabad,BigBMart,Hyderabad,BigBMart,platform,7.50,piece,7.50,piece,INCL,12,6815,1.13,0.47,0.35,9.45,9.45,,,unknown,,NOT_APPLICABLE,,0,,,37.78,lcv,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/fly-ash-bricks/
p_bc55663a22ef68e7,bricks_blocks,Unbranded Red clay brick 230×110×75 mm,,hyderabad,BigBMart,Hyderabad,BigBMart,platform,8.00,piece,8.00,piece,INCL,12,6904,1.60,0.54,0.35,10.49,10.49,,,unknown,,NOT_APPLICABLE,,0,,,37.78,6_tyre,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/abp-red-brick/
p_bc55663a22ef68e7,bricks_blocks,Unbranded Red clay brick 230×110×75 mm,,hyderabad,BigBMart,Hyderabad,BigBMart,platform,9.00,piece,9.00,piece,INCL,12,6904,1.60,0.54,0.35,10.49,10.49,,,unknown,,NOT_APPLICABLE,,0,,,37.78,6_tyre,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/karnataka-red-bricks/
p_5d9f3f5ba683235e,bricks_blocks,Unbranded Concrete solid block,,hyderabad,BigBMart,Hyderabad,BigBMart,platform,9.00,piece,9.00,piece,INCL,18,6810,1.13,0.47,0.35,10.95,10.95,,,unknown,,NOT_APPLICABLE,,0,,,37.78,lcv,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/cement-solid-blocks/
p_72c95fa3e9888605,bricks_blocks,Karimnagar SRB Red clay brick 230×110×75 mm,Karimnagar SRB,hyderabad,BigBMart,Hyderabad,BigBMart,platform,9.00,piece,9.00,piece,INCL,12,6904,1.60,0.54,0.35,11.49,11.49,,,unknown,,NOT_DECLARED,,0,,,37.78,6_tyre,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/karimnagar-srb-red-bricks/
p_6423acac7f3607e7,bricks_blocks,Karimnagar ABN block,Karimnagar ABN,hyderabad,BigBMart,Hyderabad,BigBMart,platform,10.00,piece,10.00,piece,INCL,18,6810,1.13,0.47,0.35,11.94,11.94,,,unknown,,NOT_DECLARED,,0,,,37.78,lcv,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/karimnagar-abn-bricks/
p_ff961df2175610ba,bricks_blocks,Karimnagar ABP Red clay brick 230×110×75 mm,Karimnagar ABP,hyderabad,BigBMart,Hyderabad,BigBMart,platform,10.00,piece,10.00,piece,INCL,12,6904,1.60,0.54,0.35,12.49,12.49,,,unknown,,NOT_DECLARED,,0,,,37.78,6_tyre,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/karimnagar-abp-red-brick/
p_ace7682b6162f4cc,bricks_blocks,Karimnagar VBI Red clay brick 230×110×75 mm,Karimnagar VBI,hyderabad,BigBMart,Hyderabad,BigBMart,platform,10.30,piece,10.30,piece,INCL,12,6904,1.60,0.54,0.35,12.79,12.79,,,unknown,,NOT_DECLARED,,0,,,37.78,6_tyre,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/karimnagar-vbi-red-brick/
p_9cb402f7598624e8,bricks_blocks,Karimnagar SVT Red clay brick 230×110×75 mm,Karimnagar SVT,hyderabad,BigBMart,Hyderabad,BigBMart,platform,10.50,piece,10.50,piece,INCL,12,6904,1.60,0.54,0.35,13.00,13.00,,,unknown,,NOT_DECLARED,,0,,,37.78,6_tyre,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/karimnagar-svt-red-bricks/
p_c2a88aa6beac1e7f,bricks_blocks,Karimnagar VBS Red clay brick 230×110×75 mm,Karimnagar VBS,hyderabad,BigBMart,Hyderabad,BigBMart,platform,10.50,piece,10.50,piece,INCL,12,6904,1.60,0.54,0.35,13.00,13.00,,,unknown,,NOT_DECLARED,,0,,,37.78,6_tyre,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/karimnagar-vbs-red-brick/
