product_id,category,title,brand,region_id,vendor_name,vendor_locality,platform,seller_type,base_rupees,base_unit,base_rupees_per_canonical,unit_canonical,gst_treatment,gst_rate_pct,hsn,freight_rupees,handling_rupees,loading_rupees,landed_rupees_per_canonical,landed_rupees_per_trade_unit,moq_qty,moq_unit,stock_state,lead_time_days,cert_state,cert_ref,qco_regulated,rating,review_count,distance_km,vehicle_class,freight_basis,fetched_at,source_url
p_06e12ff05224b3b4,cement,Nagarjuna PPC cement — 50 kg bag,Nagarjuna,hyderabad,BigBMart,Hyderabad,BigBMart,platform,265.00,bag,265.00,bag,INCL,18,2523,22.67,12.50,2.00,302.17,302.17,,,unknown,,BRAND_LICENSED,,1,,,37.78,lcv,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/nagarjuna-ppc-cement/
p_4f38ae66d4353327,cement,Bangur PPC cement — 50 kg bag,Bangur,hyderabad,BigBMart,Hyderabad,BigBMart,platform,270.00,bag,270.00,bag,INCL,18,2523,22.67,12.50,2.00,307.17,307.17,,,unknown,,BRAND_LICENSED,,1,,,37.78,lcv,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/bangur-ppc-cement/
p_24b7d4cad734fa0a,cement,ACC PPC cement — 50 kg bag,ACC,hyderabad,BigBMart,Hyderabad,BigBMart,platform,280.00,bag,280.00,bag,INCL,18,2523,22.67,12.50,2.00,317.17,317.17,,,unknown,,BRAND_LICENSED,,1,,,37.78,lcv,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/acc-suraksha-ppc-cement/
p_f29e7d34cfe84700,cement,Birla PPC cement — 50 kg bag,Birla,hyderabad,BigBMart,Hyderabad,BigBMart,platform,300.00,bag,300.00,bag,INCL,18,2523,22.67,12.50,2.00,317.17,317.17,,,unknown,,BRAND_LICENSED,,1,,,37.78,lcv,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/mp-birla-samrat-ppc-cement/
p_f29e7d34cfe84700,cement,Birla PPC cement — 50 kg bag,Birla,hyderabad,BigBMart,Hyderabad,BigBMart,platform,280.00,bag,280.00,bag,INCL,18,2523,22.67,12.50,2.00,317.17,317.17,,,unknown,,BRAND_LICENSED,,1,,,37.78,lcv,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/birla-shakti-ppc-cement/
p_f29e7d34cfe84700,cement,Birla PPC cement — 50 kg bag,Birla,hyderabad,BigBMart,Hyderabad,BigBMart,platform,335.00,bag,335.00,bag,INCL,18,2523,22.67,12.50,2.00,317.17,317.17,,,unknown,,BRAND_LICENSED,,1,,,37.78,lcv,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/birla-gold-ppc-cement/
p_f29e7d34cfe84700,cement,Birla PPC cement — 50 kg bag,Birla,hyderabad,BigBMart,Hyderabad,BigBMart,platform,360.00,bag,360.00,bag,INCL,18,2523,22.67,12.50,2.00,317.17,317.17,,,unknown,,BRAND_LICENSED,,1,,,37.78,lcv,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/birla-a1-ppc-cement/
p_94037d22cd39890e,cement,Unbranded PPC cement — 50 kg bag,,hyderabad,BigBMart,Hyderabad,BigBMart,platform,285.00,bag,285.00,bag,INCL,18,2523,22.67,12.50,2.00,322.18,322.18,,,unknown,,NOT_DECLARED,,1,,,37.78,lcv,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/parasakti-ppc-cement/
p_94037d22cd39890e,cement,Unbranded PPC cement — 50 kg bag,,hyderabad,BigBMart,Hyderabad,BigBMart,platform,295.00,bag,295.00,bag,INCL,18,2523,22.67,12.50,2.00,322.18,322.18,,,unknown,,NOT_DECLARED,,1,,,37.78,lcv,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/cci-ppc-cement/
p_94037d22cd39890e,cement,Unbranded PPC cement — 50 kg bag,,hyderabad,BigBMart,Hyderabad,BigBMart,platform,335.00,bag,335.00,bag,INCL,18,2523,22.67,12.50,2.00,322.18,322.18,,,unknown,,NOT_DECLARED,,1,,,37.78,lcv,seeded_fallback,2026-08-01T00:00:00.000Z,https://bigbmart.com/product/bhavya-ppc-cement/
