product_id,category,title,brand,region_id,vendor_name,vendor_locality,platform,seller_type,base_rupees,base_unit,base_rupees_per_canonical,unit_canonical,gst_treatment,gst_rate_pct,hsn,freight_rupees,handling_rupees,loading_rupees,landed_rupees_per_canonical,landed_rupees_per_trade_unit,moq_qty,moq_unit,stock_state,lead_time_days,cert_state,cert_ref,qco_regulated,rating,review_count,distance_km,vehicle_class,freight_basis,fetched_at,source_url
p_5fbec72fc109eba9,water_pipes,Unbranded HDPE ? mm × 3 m,,hyderabad,Tirupati Plastomatics Private Limited,Deals in Hyderabad,IndiaMART,dealer,1150.00,running_metre,1150.00,running_metre,EXCL,18,3917,6.52,1.50,3.00,,,,,unknown,,NOT_DECLARED,,0,4.2,60,28.72,parcel,seeded_fallback,2026-08-01T06:37:35.188Z,https://www.indiamart.com/proddetail/hdpe-dwc-pipe-manufacturing-2850807380173.html
p_87227cbfa0059c01,water_pipes,Unbranded HDPE 600 mm × 3 m,,hyderabad,Best Tech Pipes LLP,Deals in Hyderabad,IndiaMART,dealer,2660.00,running_metre,2660.00,running_metre,EXCL,18,3917,6.52,1.50,3.00,,,,,unknown,,NOT_DECLARED,,0,4,42,31.52,parcel,seeded_fallback,2026-08-01T06:37:35.188Z,https://www.indiamart.com/proddetail/600-mm-sn4-dwc-hdpe-pipe-22442455362.html
p_c97fa03d497f86d9,water_pipes,Unbranded HDPE ? mm × 3 m,,hyderabad,Lakshmi Corporations,Deals in Hyderabad,IndiaMART,dealer,1000.00,running_metre,1000.00,running_metre,EXCL,18,3917,6.52,1.50,3.00,,,,,unknown,,NOT_DECLARED,,0,4.2,213,9.39,parcel,seeded_fallback,2026-08-01T06:35:43.098Z,https://www.indiamart.com/proddetail/hdpe-tube-in-chennai-25564767512.html
p_72c6ce2ed2a2de5b,water_pipes,Unbranded HDPE 32 mm PE 100 × 3 m,,hyderabad,Shiva Engineering Works,"Secunderabad, Dist. Hyderabad",IndiaMART,dealer,4000.00,running_metre,4000.00,running_metre,EXCL,18,3917,6.52,1.50,3.00,,,,,unknown,,NOT_DECLARED,,0,2.4,10,22.23,parcel,seeded_fallback,2026-08-01T06:35:43.098Z,https://www.indiamart.com/proddetail/black-round-hdpe-pipe-26793659733.html
p_3cd0a5865c57a353,water_pipes,Unbranded UPVC / PVC ? mm × 3 m,,hyderabad,Pavani Enterprises,"Secunderabad, Dist. Hyderabad",IndiaMART,dealer,3000.00,piece,1000.00,running_metre,EXCL,18,3917,6.52,1.50,3.00,,,,,unknown,,NOT_DECLARED,,0,3.9,190,40.15,parcel,seeded_fallback,2026-08-01T06:38:45.678Z,https://www.indiamart.com/proddetail/rigid-pvc-pipes-self-socket-10kgf-cm2-2859447972433.html
p_ec1bbc0b9f239df4,water_pipes,Champion pipe 200 mm × 3 m,Champion,hyderabad,Savera Pipes Private Limited,Hyderabad,IndiaMART,dealer,3104.00,piece,1034.67,running_metre,EXCL,18,3917,6.52,1.50,3.00,,,,,unknown,,NOT_DECLARED,,0,4.2,128,7.94,parcel,seeded_fallback,2026-08-01T06:38:03.238Z,https://www.indiamart.com/proddetail/champion-ugd-pipe-200-mm-8-orange-2859305175248.html
p_a67a9a1928e691a9,water_pipes,Unbranded CPVC ? mm × 3 m,,hyderabad,Kaizen Pipes & Fittings ( Brand Of Rajendra Industries),Deals in Hyderabad,IndiaMART,dealer,3.00,piece,1.00,running_metre,EXCL,18,3917,6.52,1.50,3.00,12.20,36.60,,,unknown,,NOT_DECLARED,,0,4.4,44,10.61,parcel,seeded_fallback,2026-08-01T06:39:06.546Z,https://www.indiamart.com/proddetail/cpvc-pipe-coupler-19668046897.html
p_b95c7349f6d8053d,water_pipes,Tomson CPVC ? mm × 3 m,Tomson,hyderabad,Garg Engineering Company,Deals in Hyderabad,IndiaMART,dealer,4.00,piece,1.33,running_metre,EXCL,18,3917,6.52,1.50,3.00,12.59,37.77,,,unknown,,NOT_DECLARED,,0,4.6,70,12.33,parcel,seeded_fallback,2026-08-01T06:39:06.546Z,https://www.indiamart.com/proddetail/cpvc-male-adapter-20340693455.html
p_a31668698c8bb5cf,water_pipes,Unbranded UPVC / PVC 15 mm × 3 m,,hyderabad,Rajeshwar sanitary wares,Gowliguda,ExportersIndia,dealer,40.00,piece,2.22,running_metre,EXCL,18,3917,5.85,1.25,3.00,12.72,38.16,24,Piece,unknown,,NOT_DECLARED,,0,,,19.51,parcel,seeded_fallback,2026-08-06T13:06:42.429Z,https://www.exportersindia.com/product-detail/1-2-inch-pvc-connection-pipe-4491756946.htm
p_a31668698c8bb5cf,water_pipes,Unbranded UPVC / PVC 15 mm × 3 m,,hyderabad,AR Industries,Deals in Hyderabad,IndiaMART,dealer,150.00,piece,50.00,running_metre,EXCL,18,3917,6.52,1.50,3.00,12.72,38.16,,,unknown,,NOT_DECLARED,,0,3.6,527,16.86,parcel,seeded_fallback,2026-08-01T06:38:17.517Z,https://www.indiamart.com/proddetail/upvc-pipes-astm-2856599892212.html
